ID	LENGTH	ALIGNED	UNALIGNED	VARIANT	HET	MASKED	LOWCOV
SRR15731983	33287	27839	2367	0	55	2729	297
SRR15731984	33287	30546	0	3	12	2729	0
SRR15731985	33287	30546	0	0	6	2729	6
SRR15731989	33287	30542	0	1	14	2729	2
SRR15731990	33287	30516	0	1	36	2729	6
SRR15731991	33287	30548	0	1	10	2729	0
SRR15731994	33287	30544	0	6	11	2729	3
SRR15731996	33287	30489	0	0	55	2729	14
SRR15731998	33287	30456	0	0	75	2729	27
SRR15732003	33287	30539	0	2	9	2729	10
SRR15732006	33287	30549	0	2	9	2729	0
SRR15732011	33287	30482	0	1	16	2729	60
SRR15732013	33287	30533	0	1	13	2729	12
SRR15732016	33287	30381	0	0	177	2729	0
SRR15732017	33287	30548	0	1	10	2729	0
SRR15732019	33287	30529	0	1	29	2729	0
SRR15732023	33287	30533	0	0	25	2729	0
SRR15732024	33287	30545	0	0	13	2729	0
SRR15732025	33287	30525	0	0	33	2729	0
SRR15732026	33287	30549	0	2	9	2729	0
SRR15732027	33287	30545	0	2	13	2729	0
SRR15732033	33287	30544	0	2	14	2729	0
SRR15732034	33287	30438	0	1	120	2729	0
SRR15732036	33287	30545	0	0	13	2729	0
SRR15732039	33287	30549	0	1	9	2729	0
SRR15732041	33287	30289	0	1	223	2729	46
SRR15732043	33287	30542	0	0	16	2729	0
SRR15732044	33287	30523	0	1	35	2729	0
SRR15732045	33287	30537	0	0	9	2729	12
SRR15732050	33287	30506	0	4	51	2729	1
SRR15732056	33287	30545	0	0	6	2729	7
SRR15732057	33287	30519	0	4	27	2729	12
SRR15732058	33287	30495	0	4	49	2729	14
SRR15732059	33287	30488	0	1	58	2729	12
SRR15732064	33287	30549	0	0	9	2729	0
SRR15732066	33287	30548	0	4	10	2729	0
SRR15732067	33287	30546	0	1	12	2729	0
SRR15732080	33287	30144	208	9	65	2729	141
SRR15732083	33287	30545	0	1	13	2729	0
SRR15732085	33287	30548	0	1	10	2729	0
SRR15732086	33287	30547	0	0	11	2729	0
SRR15732087	33287	30549	0	3	9	2729	0
SRR15732088	33287	30549	0	3	9	2729	0
SRR15732090	33287	30426	0	0	132	2729	0
SRR15732093	33287	30545	0	4	13	2729	0
SRR15732094	33287	30529	0	1	29	2729	0
SRR15732095	33287	30533	0	3	25	2729	0
SRR15732096	33287	30546	0	1	12	2729	0
SRR15732097	33287	19438	10512	1	52	2729	556
SRR15732102	33287	30542	0	0	16	2729	0
SRR15732104	33287	30543	0	0	15	2729	0
SRR15732106	33287	30546	0	1	12	2729	0
SRR15732109	33287	30202	0	6	356	2729	0
SRR15732110	33287	30545	0	1	13	2729	0
SRR15732112	33287	30549	0	3	9	2729	0
SRR15732114	33287	30549	0	3	9	2729	0
SRR15732116	33287	30549	0	2	9	2729	0
SRR15732117	33287	30523	0	1	35	2729	0
SRR15732119	33287	30516	0	2	42	2729	0
SRR15732121	33287	30538	0	1	18	2729	2
SRR15732123	33287	30470	45	0	36	2729	7
SRR15732125	33287	30543	0	2	15	2729	0
SRR15732128	33287	30532	0	0	26	2729	0
SRR15732129	33287	30547	0	0	11	2729	0
SRR15732138	33287	30182	326	6	23	2729	27
SRR15732139	33287	30427	0	1	131	2729	0
SRR15732141	33287	30530	0	5	28	2729	0
SRR15732142	33287	30380	0	0	178	2729	0
SRR15732144	33287	30482	0	0	76	2729	0
SRR15732145	33287	30548	0	0	10	2729	0
SRR15732146	33287	30543	0	1	15	2729	0
SRR15732147	33287	30412	0	1	146	2729	0
SRR15732148	33287	30552	0	1	6	2729	0
SRR15732149	33287	30547	0	4	11	2729	0
SRR15732150	33287	30547	0	4	11	2729	0
SRR15732153	33287	30443	0	0	115	2729	0
SRR15732154	33287	30549	0	1	9	2729	0
SRR15732157	33287	30552	0	1	6	2729	0
SRR15732160	33287	30546	0	0	12	2729	0
SRR15732161	33287	30481	0	1	77	2729	0
SRR15732170	33287	30545	0	0	13	2729	0
SRR15732173	33287	30534	0	1	15	2729	9
SRR15732176	33287	30453	0	3	101	2729	4
SRR15732186	33287	30537	0	0	21	2729	0
SRR15732187	33287	30539	0	0	19	2729	0
SRR15732191	33287	30488	0	3	70	2729	0
SRR15732195	33287	30250	0	1	308	2729	0
SRR15732200	33287	30511	0	0	47	2729	0
SRR15732201	33287	30515	0	2	27	2729	16
SRR15732203	33287	30543	0	1	15	2729	0
SRR15732209	33287	30551	0	3	7	2729	0
SRR15732212	33287	30545	0	1	10	2729	3
SRR15732213	33287	30549	0	0	9	2729	0
SRR15732216	33287	30550	0	1	8	2729	0
SRR15732217	33287	30543	0	1	15	2729	0
SRR15732219	33287	30543	0	1	15	2729	0
SRR15732220	33287	30552	0	3	6	2729	0
SRR15732223	33287	30546	0	0	9	2729	3
SRR15732227	33287	30469	0	2	89	2729	0
SRR15732230	33287	30394	0	5	79	2729	85
SRR15732231	33287	30363	0	1	186	2729	9
SRR15732235	33287	30549	0	3	9	2729	0
SRR15732238	33287	30477	0	0	81	2729	0
SRR15732248	33287	30547	0	4	11	2729	0
SRR15732250	33287	30540	0	0	18	2729	0
SRR15732253	33287	30552	0	1	6	2729	0
SRR15732254	33287	30547	0	0	11	2729	0
SRR15732255	33287	30531	0	4	27	2729	0
SRR15732257	33287	30506	0	0	43	2729	9
SRR15732259	33287	30550	0	3	8	2729	0
SRR15732270	33287	30549	0	2	9	2729	0
SRR15732273	33287	30438	0	0	120	2729	0
SRR15732275	33287	30407	0	0	151	2729	0
SRR15732279	33287	30544	0	0	14	2729	0
SRR15732281	33287	30546	0	0	12	2729	0
SRR15732288	33287	30488	0	0	70	2729	0
SRR15732289	33287	30546	0	1	12	2729	0
SRR15732290	33287	30543	0	0	15	2729	0
SRR15732294	33287	30512	0	0	46	2729	0
SRR15732296	33287	30545	0	1	13	2729	0
SRR15732300	33287	30544	0	3	14	2729	0
SRR15732306	33287	30444	0	0	114	2729	0
SRR15732307	33287	30430	0	0	128	2729	0
SRR15732308	33287	30545	0	0	13	2729	0
SRR15732311	33287	30549	0	2	9	2729	0
SRR15732312	33287	30549	0	2	9	2729	0
SRR15732315	33287	30396	0	0	162	2729	0
SRR15732316	33287	30483	0	1	75	2729	0
SRR15732318	33287	30548	0	0	10	2729	0
SRR15732325	33287	30442	0	3	116	2729	0
SRR15732326	33287	30504	0	1	45	2729	9
Reference	33287	30558	0	0	0	2729	0
